std_lightness	std_bkg_val	cmp_bkg_vals_bkg_30.0000	lightness_vals_bkg_30.0000	n_cmp_chsn_bkg_30.0000	n_trials_bkg_30.0000	cmp_bkg_vals_bkg_40.0000	lightness_vals_bkg_40.0000	n_cmp_chsn_bkg_40.0000	n_trials_bkg_40.0000	cmp_bkg_vals_bkg_50.0000	lightness_vals_bkg_50.0000	n_cmp_chsn_bkg_50.0000	n_trials_bkg_50.0000
40.0000	40.0000	30.0000	30.0000	0	30	40.0000	30.0000	2	30	50.0000	30.0000	5	30
40.0000	40.0000	30.0000	32.0000	0	30	40.0000	32.0000	1	30	50.0000	32.0000	11	30
40.0000	40.0000	30.0000	34.0000	0	30	40.0000	34.0000	1	30	50.0000	34.0000	8	30
40.0000	40.0000	30.0000	36.0000	6	30	40.0000	36.0000	4	30	50.0000	36.0000	12	30
40.0000	40.0000	30.0000	38.0000	6	30	40.0000	38.0000	8	30	50.0000	38.0000	12	30
40.0000	40.0000	30.0000	40.0000	18	30	40.0000	40.0000	20	30	50.0000	40.0000	18	30
40.0000	40.0000	30.0000	42.0000	16	30	40.0000	42.0000	18	30	50.0000	42.0000	16	30
40.0000	40.0000	30.0000	44.0000	22	30	40.0000	44.0000	19	30	50.0000	44.0000	26	30
40.0000	40.0000	30.0000	46.0000	25	30	40.0000	46.0000	29	30	50.0000	46.0000	23	30
40.0000	40.0000	30.0000	48.0000	25	30	40.0000	48.0000	28	30	50.0000	48.0000	29	30
40.0000	40.0000	30.0000	50.0000	28	30	40.0000	50.0000	30	30	50.0000	50.0000	30	30
